DEF_SUB,ACO_NUM,aco_npi_cnt,saving_npi_pct,aco_epi_cnt,aco_readm_oe,aco_readm_saving,aco_er_oe,aco_er_saving,aco_ins_oe,aco_ins_saving,avg_aco_saving,total_aco_saving,avg_cost_score,avg_quality_score
PPI_IOP_MJRLE_KNEE,A4765,2,1,32,0.6625752938,0,0.7141837048,2.6871842865,0.9492028559,163.28615081,165.9733351,5311.1467232,2.5,3.75
PPI_IOP_MJRLE_KNEE,A4768,8,1,162,1.2842475846,86.087696766,1.4229429789,15.52004165,1.0232300571,173.39479449,275.00253292,44550.410334,3.6481481481,3.2160493827
PPI_IOP_MJRLE_KNEE,A4771,19,0.6842105263,550,1.112270953,89.388687153,0.6639783609,0.774488686,0.8605053961,268.05615457,358.21933041,197020.63172,3.2672727273,2.68
PPI_IOP_MJRLE_KNEE,A4775,6,0.5,98,0.8072386948,75.417057366,0.8062893928,4.2387068682,0.4879027884,118.8967221,198.55248634,19458.143661,3.6020408163,4.1428571429
PPI_IOP_MJRLE_KNEE,A4776,1,1,31,1.19546594,42.605962,1.293457994,20.88657938,2.798959645,1820.102665,1883.595206,58391.451386,3,3
PPI_IOP_MJRLE_KNEE,A4777,18,0.3888888889,311,0.7315208641,44.606114895,0.8772033309,3.1144568227,0.4297020582,0,47.720571721,14841.097805,3.8713826367,3.7459807074
PPI_IOP_MJRLE_KNEE,A4778,3,0.6666666667,87,1.011282667,106.61194634,0.7209203663,4.1321504213,0.4871393282,0,110.74409676,9634.7364181,5,4.6091954023
PPI_IOP_MJRLE_KNEE,A4779,9,0.8888888889,201,0.843578944,36.29057914,1.2297903311,14.981872886,1.401373443,439.90414267,491.17659458,98726.49551,3.0497512438,2.5621890547
PPI_IOP_MJRLE_KNEE,A4794,2,0.5,82,1.8781775298,221.62853245,0.6581485488,0,0.5772397553,0,221.62853245,18173.539661,4.1219512195,5
PPI_IOP_MJRLE_KNEE,A4796,4,1,103,1.0078604115,48.51980649,1.1795075384,6.2841593896,0.5479044562,0,54.803965879,5644.8084855,1.8834951456,2.0873786408
PPI_IOP_MJRLE_KNEE,A4799,9,0.6666666667,409,0.6791451578,9.5899703792,1.1036296537,19.2466332,0.8251465407,36.838413773,65.675017359,26861.0821,2.9217603912,2.9926650367
PPI_IOP_MJRLE_KNEE,A4803,30,0.7333333333,874,1.1748193421,99.154560165,0.7374703357,6.2777589493,0.5391105382,16.106373432,121.53869255,106224.81728,4.3867276888,3.1224256293
PPI_IOP_MJRLE_KNEE,A4806,2,0.5,40,1.371686425,206.6805636,0.5505261311,0.7903412412,0.5527953716,0,207.47090485,8298.8361939,5,2.9
PPI_IOP_MJRLE_KNEE,A4809,4,0.5,118,0.865969116,6.3330952129,0.6387695205,0.9627183438,0.4676329352,0,7.2958135566,860.90599968,3.8305084746,2.0677966102
PPI_IOP_MJRLE_KNEE,A4814,12,0.75,363,0.6585799179,18.985114794,0.9206074365,6.0558469566,1.0640164385,262.14676679,287.18772855,104249.14546,2.2506887052,3.5757575758
PPI_IOP_MJRLE_KNEE,A4818,46,0.847826087,1222,1.1999354891,96.194423798,0.8979870954,6.979957831,1.0239398026,318.32616448,421.50054611,515073.66735,3.6693944354,2.6767594108
PPI_IOP_MJRLE_KNEE,A4824,41,0.6829268293,1103,0.7259533147,34.81743863,1.2720648235,19.327186919,1.0194506145,336.24573552,390.39036108,430600.56827,3.4034451496,3.1142339075
PPI_IOP_MJRLE_KNEE,A4825,10,0.9,306,1.5177362296,279.42386111,1.0297646678,11.099922519,1.4322683005,624.64769133,915.17147487,280042.47131,2.4215686275,2.1830065359
PPI_IOP_MJRLE_KNEE,A4830,8,0.875,269,1.066142193,73.267384187,0.730607888,3.1045820494,0.9534687321,239.93613582,316.30810206,85086.879454,3.43866171,3.8327137546
PPI_IOP_MJRLE_KNEE,A4832,3,0.6666666667,104,0.5663381488,26.030939608,1.0148527224,4.6941063076,0.9989676404,307.96131374,338.68635958,35223.381396,1.6923076923,4.3461538462
PPI_IOP_MJRLE_KNEE,A4839,1,1,15,0.622495608,0,0.568874406,0,1.013432786,17.80465409,17.80465409,267.06981135,3,1
PPI_IOP_MJRLE_KNEE,A4842,9,0.4444444444,232,0.7939584701,40.196401659,0.5980212974,0.3121910835,0.6957659114,2.3154548016,42.824047545,9935.1790303,3.0732758621,3.3017241379
PPI_IOP_MJRLE_KNEE,A4862,3,0.3333333333,44,0.7823431707,28.37994675,0.9500997805,0.9633918105,0.8824851774,160.4569673,189.80030585,8351.2134574,4.0454545455,3.3181818182
PPI_IOP_MJRLE_KNEE,A4868,36,0.7777777778,1369,1.0151334241,58.648790512,1.1187574887,8.8766112401,0.6832587638,82.143587023,149.66898877,204896.84562,3.1497443389,3.2644265888
PPI_IOP_MJRLE_KNEE,A4876,5,1,126,0.6570049824,10.234259253,1.4439818039,16.699648987,1.496887327,674.6999467,701.63385484,88405.86571,3.0476190476,3.8095238095
PPI_IOP_MJRLE_KNEE,A4884,3,1,70,0.7673124904,19.505294105,1.3442733956,14.22914142,1.4869604569,759.29474611,793.02918146,55512.042702,2.8571428571,3.2285714286
PPI_IOP_MJRLE_KNEE,A4889,11,0.5454545455,194,0.6590795089,10.141860335,0.6401489801,2.6287365959,1.0842065905,327.95832759,340.72892453,66101.411359,3.5979381443,4.4432989691
PPI_IOP_MJRLE_KNEE,A4893,16,0.6875,365,0.9854568661,79.379856105,1.022791838,10.163770165,0.7486308531,162.90414742,252.4477737,92143.437402,3.904109589,3.0931506849
