ATTR_NPI,DEF_SUB,ACO_NUM,aco_epi_cnt
1003902354,PPI_IOP_MJRLE_HIP,A2299,37
1003902354,PPI_IOP_MJRLE_HIP,A4992,12
1003903121,PPI_IOP_MJRLE_HIP,,11
1003913807,PPI_IOP_MJRLE_KNEE,,18
1003914284,PPI_IOP_MJRLE_HIP,,20
1003914284,PPI_IOP_MJRLE_KNEE,,16
1003924861,PPI_IOP_MJRLE_HIP,,44
1003924861,PPI_IOP_MJRLE_HIP,A2616,36
1003925074,PPI_IOP_MJRLE_HIP,,23
1003925074,PPI_IOP_MJRLE_KNEE,,100
1003934530,PPI_IOP_MJRLE_HIP,,36
1003934530,PPI_IOP_MJRLE_HIP,A2528,33
1003934530,PPI_IOP_MJRLE_KNEE,,39
1003934530,PPI_IOP_MJRLE_KNEE,A2528,26
1003951724,PPI_IOP_MJRLE_HIP,,187
1003951724,PPI_IOP_MJRLE_HIP,A3047,19
1003951724,PPI_IOP_MJRLE_HIP,A3566,43
1003951724,PPI_IOP_MJRLE_HIP,A5148,14
1003951724,PPI_IOP_MJRLE_KNEE,,243
1003951724,PPI_IOP_MJRLE_KNEE,A2714,15
1003951724,PPI_IOP_MJRLE_KNEE,A3047,24
1003951724,PPI_IOP_MJRLE_KNEE,A3566,85
1003951724,PPI_IOP_MJRLE_KNEE,A3663,11
1003951724,PPI_IOP_MJRLE_KNEE,A5148,12
1003962622,PPI_IOP_MJRLE_HIP,,14
1003962622,PPI_IOP_MJRLE_HIP,A3694,15
1003962622,PPI_IOP_MJRLE_KNEE,,18
1003962622,PPI_IOP_MJRLE_KNEE,A3694,25
1003963539,PPI_IOP_MJRLE_HIP,,17
1003966359,PPI_IOP_MJRLE_HIP,,426
1003966359,PPI_IOP_MJRLE_HIP,A4733,29
1003966359,PPI_IOP_MJRLE_HIP,A4824,29
1003966359,PPI_IOP_MJRLE_KNEE,,874
1003966359,PPI_IOP_MJRLE_KNEE,A4733,40
1003966359,PPI_IOP_MJRLE_KNEE,A4824,44
1003966359,PPI_IOP_MJRLE_KNEE,A4943,11
1013000769,PPI_IOP_MJRLE_HIP,,18
1013000801,PPI_IOP_MJRLE_HIP,,40
1013000801,PPI_IOP_MJRLE_KNEE,,30
1013002849,PPI_IOP_MJRLE_HIP,,18
1013002849,PPI_IOP_MJRLE_KNEE,,13
1013004290,PPI_IOP_MJRLE_HIP,,33
1013004290,PPI_IOP_MJRLE_HIP,A1297,13
1013004290,PPI_IOP_MJRLE_HIP,A4588,49
1013004290,PPI_IOP_MJRLE_KNEE,,29
1013004290,PPI_IOP_MJRLE_KNEE,A1297,15
1013004290,PPI_IOP_MJRLE_KNEE,A4588,63
1013012608,PPI_IOP_MJRLE_HIP,,25
1013012608,PPI_IOP_MJRLE_HIP,A1252,37
1013012608,PPI_IOP_MJRLE_KNEE,,22
1013012608,PPI_IOP_MJRLE_KNEE,A1252,43
1013013416,PPI_IOP_MJRLE_HIP,,26
1013014133,PPI_IOP_MJRLE_HIP,,25
1013014133,PPI_IOP_MJRLE_HIP,A2975,45
1013014133,PPI_IOP_MJRLE_KNEE,,69
1013014133,PPI_IOP_MJRLE_KNEE,A1216,17
1013014133,PPI_IOP_MJRLE_KNEE,A2975,67
1013014133,PPI_IOP_MJRLE_KNEE,A4638,18
1013014265,PPI_IOP_MJRLE_HIP,,14
1013014265,PPI_IOP_MJRLE_KNEE,,32
1013026269,PPI_IOP_MJRLE_HIP,,22
1013039759,PPI_IOP_MJRLE_HIP,,35
1013039759,PPI_IOP_MJRLE_HIP,A1297,13
1013039759,PPI_IOP_MJRLE_HIP,A3317,42
1013039759,PPI_IOP_MJRLE_HIP,A3458,11
1013039759,PPI_IOP_MJRLE_HIP,A3470,38
1013039759,PPI_IOP_MJRLE_KNEE,,40
1013039759,PPI_IOP_MJRLE_KNEE,A1297,16
1013039759,PPI_IOP_MJRLE_KNEE,A3317,41
1013039759,PPI_IOP_MJRLE_KNEE,A3470,44
1013041532,PPI_IOP_MJRLE_HIP,A4626,21
1013041532,PPI_IOP_MJRLE_KNEE,,11
1013041532,PPI_IOP_MJRLE_KNEE,A4626,40
1013058908,PPI_IOP_MJRLE_KNEE,,12
1013087147,PPI_IOP_MJRLE_HIP,,16
1013087147,PPI_IOP_MJRLE_KNEE,,30
1013087147,PPI_IOP_MJRLE_KNEE,A3563,12
1013089259,PPI_IOP_MJRLE_HIP,A3547,13
1013089259,PPI_IOP_MJRLE_KNEE,A3547,22
1013119528,PPI_IOP_MJRLE_HIP,,14
1013124015,PPI_IOP_MJRLE_HIP,A4692,18
1013124015,PPI_IOP_MJRLE_KNEE,,21
1013124015,PPI_IOP_MJRLE_KNEE,A4692,28
1013131705,PPI_IOP_MJRLE_KNEE,,22
1013132265,PPI_IOP_MJRLE_HIP,,63
1013132265,PPI_IOP_MJRLE_KNEE,,54
1013133016,PPI_IOP_MJRLE_KNEE,,52
1013134394,PPI_IOP_MJRLE_KNEE,A4814,19
1013172113,PPI_IOP_MJRLE_HIP,,49
1013172113,PPI_IOP_MJRLE_HIP,A1297,50
1013172113,PPI_IOP_MJRLE_KNEE,,36
1013172113,PPI_IOP_MJRLE_KNEE,A1297,29
1013174689,PPI_IOP_MJRLE_HIP,,43
1013174689,PPI_IOP_MJRLE_KNEE,,66
1013177534,PPI_IOP_MJRLE_HIP,,47
1013177534,PPI_IOP_MJRLE_HIP,A3834,13
1013177534,PPI_IOP_MJRLE_HIP,A4559,35
1013177534,PPI_IOP_MJRLE_HIP,A4641,12
1013177534,PPI_IOP_MJRLE_KNEE,,43
1013177534,PPI_IOP_MJRLE_KNEE,A4559,17
1013178912,PPI_IOP_MJRLE_HIP,,24
1013179548,PPI_IOP_MJRLE_HIP,,75
1013179548,PPI_IOP_MJRLE_KNEE,,80
1013179712,PPI_IOP_MJRLE_HIP,,132
1013179712,PPI_IOP_MJRLE_HIP,A4824,20
1013179712,PPI_IOP_MJRLE_KNEE,,169
1013179712,PPI_IOP_MJRLE_KNEE,A3873,24
1013179712,PPI_IOP_MJRLE_KNEE,A4824,31
1013181890,PPI_IOP_MJRLE_KNEE,,11
1013203470,PPI_IOP_MJRLE_HIP,,18
1013203470,PPI_IOP_MJRLE_HIP,A3504,25
1013203470,PPI_IOP_MJRLE_KNEE,A3504,22
1013203470,PPI_IOP_MJRLE_KNEE,A4548,13
1013203843,PPI_IOP_MJRLE_HIP,A4779,11
1013203843,PPI_IOP_MJRLE_KNEE,,13
1013205970,PPI_IOP_MJRLE_HIP,,17
1013208305,PPI_IOP_MJRLE_HIP,,27
1013208305,PPI_IOP_MJRLE_HIP,A3739,30
1013222066,PPI_IOP_MJRLE_KNEE,,24
1013235829,PPI_IOP_MJRLE_HIP,,14
1013235829,PPI_IOP_MJRLE_HIP,A1552,28
1013235829,PPI_IOP_MJRLE_KNEE,A1552,19
1013261908,PPI_IOP_MJRLE_HIP,,12
