CCN,WI,Year
050580,1.2882,2015
050581,1.2882,2015
050586,1.2882,2015
050588,1.2882,2015
050589,1.2882,2015
050590,1.5256,2015
050597,1.2882,2015
050599,1.5256,2015
050603,1.2882,2015
050604,1.7180,2015
050608,1.2882,2015
050609,1.2882,2015
050616,1.2882,2015
050618,1.2882,2015
050624,1.2882,2015
050625,1.2882,2015
050633,1.2964,2015
050636,1.2882,2015
050641,1.2882,2015
050644,1.2882,2015
050660,*,2015
050663,1.2882,2015
050668,1.6738,2015
050674,1.5256,2015
050677,1.2882,2015
050678,1.2882,2015
050680,*,2015
050684,1.2882,2015
050686,1.2882,2015
050688,1.7180,2015
050689,1.6478,2015
050690,1.6315,2015
050696,1.2882,2015
050697,1.4188,2015
050701,1.2882,2015
050704,1.2882,2015
050708,1.2882,2015
050709,1.2882,2015
050710,1.2882,2015
050714,1.7239,2015
050717,1.2882,2015
050722,*,2015
050723,1.2882,2015
050724,1.2882,2015
050726,1.2892,2015
050727,1.2882,2015
050732,1.2882,2015
050735,1.2882,2015
050736,1.2882,2015
050737,1.2882,2015
050738,1.2882,2015
050739,1.2882,2015
050740,1.2882,2015
050742,1.2882,2015
050744,1.2882,2015
050745,1.2882,2015
050746,1.2882,2015
050747,1.2882,2015
050748,1.3579,2015
050749,1.2882,2015
050751,1.2882,2015
050752,1.2882,2015
050754,1.6928,2015
050755,1.2882,2015
050757,1.2882,2015
050758,1.2882,2015
050760,1.6478,2015
050761,1.2882,2015
050762,*,2015
050763,1.2882,2015
050764,1.4188,2015
050765,1.2882,2015
050766,1.2882,2015
050767,1.6315,2015
050768,1.2882,2015
050769,1.2882,2015
050770,1.2882,2015
050771,1.2882,2015
050772,1.5256,2015
050773,1.6501,2015
050774,1.2892,2015
060001,1.0048,2015
060003,1.0048,2015
060004,1.0235,2015
060006,0.9419,2015
060008,0.9419,2015
060009,1.0235,2015
060010,0.9419,2015
060011,1.0235,2015
060012,0.9419,2015
060013,0.9419,2015
060014,1.0235,2015
060015,1.0235,2015
060016,0.9419,2015
060020,0.9419,2015
060022,0.9419,2015
060023,1.0048,2015
060024,1.0235,2015
060027,1.0048,2015
060028,1.0235,2015
060030,0.9454,2015
060031,1.0048,2015
060032,1.0235,2015
060034,1.0235,2015
060036,0.9419,2015
060043,0.9419,2015
060044,0.9419,2015
060049,0.9419,2015
060054,0.9619,2015
060064,1.0235,2015
060065,1.0235,2015
060071,0.9419,2015
060075,0.9419,2015
060076,0.9419,2015
060096,1.0048,2015
060100,1.0235,2015
060103,1.0048,2015
060104,1.0235,2015
060107,1.0235,2015
060112,1.0235,2015
060113,1.0235,2015
060114,1.0235,2015
060116,1.0048,2015
060117,0.9419,2015
060118,1.0048,2015
060119,0.9454,2015
060123,*,2015
060124,1.0235,2015
060125,1.0235,2015
070001,*,2015
070002,1.1837,2015
070003,1.1991,2015
070004,1.1837,2015
070005,1.1837,2015
070006,1.3318,2015
070007,1.2773,2015
070008,1.1837,2015
070010,1.3318,2015
070011,1.2257,2015
070012,1.1837,2015
070015,1.3318,2015
070016,1.2257,2015
070017,1.2257,2015
070018,1.3318,2015
070019,1.2257,2015
070020,1.2257,2015
070021,1.1991,2015
070022,1.3318,2015
070024,1.2093,2015
070025,1.1837,2015
070027,1.1837,2015
070028,1.3318,2015
070029,1.1837,2015
070031,1.2257,2015
070033,1.3318,2015
070034,1.3318,2015
070035,1.1837,2015
070036,1.2257,2015
070038,1.2257,2015
070039,1.2257,2015
070040,1.1837,2015
080001,1.0552,2015
080002,*,2015
080003,1.0552,2015
080004,1.0482,2015
080006,1.0211,2015
080007,1.0477,2015
080009,0.9787,2015
090001,1.0178,2015
090003,1.0178,2015
090004,1.0178,2015
090005,1.0178,2015
090006,1.0178,2015
090008,1.0178,2015
090011,1.0178,2015
100B29,0.9743,2015
100B67,0.9635,2015
100001,0.9069,2015
100002,0.9743,2015
100006,0.9053,2015
100007,0.9053,2015
100008,0.9635,2015
100009,0.9635,2015
100012,0.9397,2015
100014,0.8898,2015
100017,0.8898,2015
100018,0.8950,2015
100019,0.8966,2015
100022,0.9743,2015
100023,0.8978,2015
100025,0.8416,2015
100026,0.8416,2015
100028,0.8966,2015
100029,0.9635,2015
100030,0.9053,2015
100032,0.8978,2015
100034,0.9635,2015
100035,0.9232,2015
100038,0.9743,2015
100039,0.9743,2015
100040,0.9069,2015
100043,0.8978,2015
100044,0.9062,2015
100045,0.8898,2015
100046,0.8978,2015
100047,0.9232,2015
100048,0.8416,2015
100049,0.8416,2015
100050,0.9635,2015
100051,0.9053,2015
100052,0.8416,2015
100053,0.9635,2015
100054,0.8416,2015
100055,0.8978,2015
100057,0.9053,2015
100061,*,2015
100062,0.8416,2015
100063,0.8978,2015
100067,0.8978,2015
100068,0.8898,2015
100069,0.8978,2015
100070,0.9232,2015
100071,0.8978,2015
100072,0.8898,2015
100073,0.9743,2015
100075,0.8978,2015
100076,0.9635,2015
100077,0.9232,2015
100079,*,2015
100080,0.9743,2015
100081,0.8416,2015
100084,0.9053,2015
100086,0.9743,2015
100087,0.9232,2015
100088,0.9069,2015
100090,0.8416,2015
100092,0.8966,2015
100093,0.8416,2015
100099,0.8416,2015
100102,0.8994,2015
100105,0.9062,2015
100106,0.8416,2015
100107,0.9397,2015
100109,0.8416,2015
100110,0.9053,2015
100113,0.8994,2015
100117,0.9069,2015
100118,0.8416,2015
100121,0.8416,2015
100122,0.8416,2015
100124,0.8416,2015
100125,0.9635,2015
100126,0.8978,2015
100127,0.8978,2015
100128,0.8978,2015
100130,0.9743,2015
100131,0.9635,2015
100132,0.8978,2015
100134,0.8416,2015
100135,0.8416,2015
100137,0.8416,2015
100139,0.8994,2015
100140,0.9069,2015
100142,0.8416,2015
100150,0.9635,2015
100151,0.9069,2015
100154,0.9635,2015
100156,0.8994,2015
100157,0.8978,2015
100161,0.9053,2015
100166,0.9232,2015
100167,0.9743,2015
100168,0.9743,2015
100173,0.8978,2015
100175,0.8416,2015
100176,0.9743,2015
100177,0.8966,2015
100179,0.9069,2015
100180,0.8978,2015
100181,0.9635,2015
100183,0.9635,2015
100187,0.9635,2015
100189,0.9743,2015
100191,0.8978,2015
100200,0.9743,2015
100204,0.8994,2015
100206,0.8978,2015
100209,0.9635,2015
100211,0.8978,2015
100212,0.8416,2015
100213,0.9232,2015
100217,0.9062,2015
100220,0.9397,2015
100223,0.8416,2015
100224,0.9743,2015
100226,0.9069,2015
100228,0.9743,2015
100230,0.9743,2015
100231,0.8416,2015
100232,0.9069,2015
100234,0.9743,2015
100236,0.9232,2015
100238,0.8978,2015
100239,0.9232,2015
100240,0.9635,2015
100242,0.8416,2015
100243,0.8978,2015
100244,0.9397,2015
100246,0.9062,2015
100248,0.8978,2015
100249,0.8978,2015
100252,0.9095,2015
100253,0.9743,2015
100254,0.8416,2015
100255,0.8978,2015
100256,0.8978,2015
100258,0.9743,2015
100259,0.8978,2015
100260,0.9062,2015
100264,0.8978,2015
100265,0.8978,2015
100266,0.8416,2015
100267,0.9232,2015
100268,0.9743,2015
100269,0.9743,2015
100271,*,2015
100275,0.9743,2015
100276,0.9743,2015
100277,0.9635,2015
100281,0.9743,2015
100284,0.9635,2015
100285,0.9743,2015
100286,0.8950,2015
100287,0.9743,2015
100288,0.9743,2015
100289,0.9743,2015
100290,0.8898,2015
100291,0.8966,2015
100292,0.8416,2015
100296,0.9635,2015
100298,*,2015
100299,0.9232,2015
100302,0.9053,2015
100307,0.9069,2015
100310,*,2015
100311,*,2015
100312,*,2015
100313,0.8416,2015
100314,0.9635,2015
100315,0.8966,2015
100316,0.8966,2015
100319,0.8978,2015
100320,0.9053,2015
110001,0.8397,2015
110002,0.9315,2015
110003,0.7521,2015
110004,0.8625,2015
110005,0.9315,2015
110006,0.8353,2015
110007,0.8057,2015
110008,0.9315,2015
110010,0.9315,2015
110011,0.9315,2015
110015,0.9315,2015
110016,0.9315,2015
110018,0.9315,2015
110023,0.9315,2015
110024,0.8734,2015
110025,0.8425,2015
110026,0.7521,2015
110027,0.7521,2015
110028,0.9015,2015
110029,0.9340,2015
110030,0.9315,2015
110031,0.9315,2015
110032,0.7521,2015
110034,0.9015,2015
110035,0.9315,2015
110036,0.8734,2015
110038,0.7667,2015
110039,0.9015,2015
110040,0.9315,2015
110041,0.8252,2015
110042,0.9315,2015
110043,0.8734,2015
110044,0.7521,2015
110045,0.9315,2015
110046,0.9315,2015
110050,0.8019,2015
110051,0.7521,2015
110054,0.9315,2015
110059,*,2015
110064,0.8286,2015
110069,0.8738,2015
110071,0.7521,2015
110073,0.7521,2015
110074,0.8353,2015
110075,0.8521,2015
110076,0.9315,2015
110078,0.9315,2015
110079,0.9315,2015
110082,0.9315,2015
110083,0.9315,2015
110086,0.7521,2015
110087,0.9315,2015
110089,0.7521,2015
110091,0.9315,2015
110092,0.7521,2015
110095,0.7704,2015
110100,0.8156,2015
110101,0.7529,2015
110104,0.7521,2015
110105,0.7704,2015
110107,0.9174,2015
110109,0.7521,2015
110111,0.9015,2015
110112,0.7521,2015
110113,0.9015,2015
110115,0.9315,2015
110121,0.7667,2015
110122,0.7667,2015
110124,0.7521,2015
110125,0.8738,2015
110128,0.8521,2015
110129,0.8286,2015
110130,0.7521,2015
110132,0.7521,2015
110135,0.7817,2015
110142,0.7716,2015
110143,0.9315,2015
110146,0.9069,2015
110150,0.8738,2015
110153,0.8738,2015
110161,0.9315,2015
110163,*,2015
110164,0.9174,2015
110165,0.9315,2015
110168,0.9315,2015
110177,0.9015,2015
110183,0.9315,2015
110184,0.9315,2015
110186,0.8286,2015
110187,0.9315,2015
110189,0.9315,2015
110190,0.7873,2015
110191,0.9315,2015
110192,0.9315,2015
110194,0.7521,2015
110198,0.9315,2015
110200,0.8286,2015
110201,0.9174,2015
110203,0.9315,2015
110205,0.8002,2015
110209,0.7521,2015
110212,*,2015
110215,0.9315,2015
110219,0.9315,2015
110225,0.9315,2015
110226,0.9315,2015
110229,0.9315,2015
110230,0.9315,2015
110233,0.9315,2015
120001,1.2300,2015
120002,1.0737,2015
120004,1.2300,2015
120005,1.0627,2015
120006,1.2300,2015
120007,1.2300,2015
120010,*,2015
120011,1.2300,2015
120014,1.0627,2015
120019,1.0627,2015
120022,1.2300,2015
120026,1.2300,2015
120027,*,2015
120028,1.0627,2015
130002,0.8893,2015
130003,0.9334,2015
130006,0.9131,2015
130007,0.9131,2015
130013,0.9159,2015
130014,0.9131,2015
130018,0.9159,2015
130025,0.7561,2015
130028,0.9392,2015
130049,1.0796,2015
130062,*,2015
130063,0.9131,2015
130065,0.9111,2015
